"subject" "activity" "activity_label" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
2 5 "STANDING" -0.99153285 -0.98008077 -0.99153285 -0.98008077 -0.99214121 -0.98513668 -0.97248141 -0.91271755 -0.98805069 -0.97626846 -0.97696766 -0.98439214 -0.98350261 -0.98608092 -0.92899912 -0.91672513 -0.97828577 -0.97488753
2 6 "LAYING" -0.99601432 -0.99056493 -0.99601432 -0.99056493 -0.99127894 -0.98758989 -0.98968321 -0.94381485 -0.99187523 -0.97185473 -0.98760766 -0.99341214 -0.98771479 -0.98588511 -0.94130801 -0.95563844 -0.97189652 -0.9733666
3 1 "WALKING" -0.29481277 -0.3624818 -0.29481277 -0.3624818 -0.29405279 -0.15862293 -0.47126934 -0.59014622 -0.58213129 -0.56408639 -0.30904958 -0.49347682 -0.20639557 -0.10506232 -0.60833852 -0.64809269 -0.62812892 -0.52000662
3 2 "WALKING_UPSTAIRS" -0.26688199 -0.43027808 -0.26688199 -0.43027808 -0.51397183 -0.44484099 -0.33958523 -0.47530997 -0.66269371 -0.68978835 -0.43349695 -0.51651446 -0.41312115 -0.49046825 -0.55889379 -0.50973893 -0.71440144 -0.67963642
3 3 "WALKING_DOWNSTAIRS" 0.12525688 0.0237466 0.12525688 0.0237466 -0.03595721 -0.025785732 -0.20534192 -0.28528091 -0.40315075 -0.53454895 0.065172888 -0.15959731 0.059504436 -0.15410257 -0.27542743 -0.41873469 -0.50066779 -0.61740641
3 4 "SITTING" -0.81276379 -0.79622284 -0.81276379 -0.79622284 -0.95169098 -0.95649641 -0.86002543 -0.83680582 -0.95532995 -0.967471 -0.87542893 -0.79295792 -0.95269584 -0.96078057 -0.89646638 -0.83041586 -0.96561951 -0.97216087
3 5 "STANDING" -0.9642833 -0.97761407 -0.9642833 -0.97761407 -0.98682527 -0.98977325 -0.94138119 -0.92607915 -0.98228938 -0.98038532 -0.98141386 -0.97771182 -0.98939869 -0.98886608 -0.94917489 -0.9245779 -0.98215821 -0.97905628
3 6 "LAYING" -0.98701981 -0.97982283 -0.98701981 -0.97982283 -0.99207197 -0.98713239 -0.97920856 -0.96344603 -0.99156278 -0.98648065 -0.98280987 -0.98002721 -0.98577727 -0.98789204 -0.96322298 -0.9698619 -0.98690732 -0.98640902
4 1 "WALKING" -0.33093904 -0.55769965 -0.33093904 -0.55769965 -0.39033299 -0.35993461 -0.47191745 -0.40995112 -0.67639619 -0.74775804 -0.44077707 -0.70978883 -0.37003703 -0.34889863 -0.55282451 -0.42178756 -0.73485987 -0.78430716
4 2 "WALKING_UPSTAIRS" -0.11982243 -0.16765603 -0.11982243 -0.16765603 -0.29986282 -0.3187626 -0.25905246 -0.49596127 -0.63865802 -0.74668982 -0.22259483 -0.26747808 -0.20722859 -0.50060908 -0.52963001 -0.55909754 -0.71060382 -0.82423159
4 3 "WALKING_DOWNSTAIRS" 0.18977386 0.095448289 0.18977386 0.095448289 0.03841332 -0.049535324 -0.20600183 -0.20789604 -0.41456017 -0.45491238 0.19076857 -0.13272902 0.063452971 -0.21681572 -0.21440377 -0.34114522 -0.43970662 -0.51175473
4 4 "SITTING" -0.88047011 -0.88383524 -0.88047011 -0.88383524 -0.93668169 -0.91104197 -0.88279454 -0.86901972 -0.96070167 -0.9565858 -0.9022407 -0.89123823 -0.91792893 -0.9014335 -0.89434361 -0.87471486 -0.96013756 -0.95473298
4 5 "STANDING" -0.95951207 -0.95483387 -0.95951207 -0.95483387 -0.98592761 -0.98740667 -0.95491207 -0.86996186 -0.98717692 -0.96897331 -0.9678384 -0.95407266 -0.98672117 -0.98702718 -0.87409116 -0.88937007 -0.97180009 -0.96713248
4 6 "LAYING" -0.99474216 -0.99520384 -0.99474216 -0.99520384 -0.99114192 -0.99231706 -0.97793981 -0.98170784 -0.99602087 -0.99600617 -0.99370805 -0.99632563 -0.99094154 -0.99334481 -0.98763157 -0.98084819 -0.99596417 -0.99596312
5 1 "WALKING" -0.1821276 -0.39640251 -0.1821276 -0.39640251 -0.25095567 -0.25335639 -0.32021256 -0.48118953 -0.41479079 -0.41177179 -0.29562295 -0.55546461 -0.26409091 -0.2447995 -0.42171852 -0.62534597 -0.48019932 -0.37146971
5 2 "WALKING_UPSTAIRS" 0.045406374 0.078918577 0.045406374 0.078918577 -0.15742191 -0.16801399 -0.20471241 -0.3207304 -0.3896853 -0.46879165 -0.031025962 -0.031977175 -0.11095196 -0.25220632 -0.3463039 -0.42020937 -0.52487312 -0.43839417
5 3 "WALKING_DOWNSTAIRS" 0.19057908 0.19667901 0.19057908 0.19667901 -0.094138314 -0.074282242 -0.27600069 -0.49105182 -0.4617835 -0.55049332 0.1495441 0.035984516 -0.040352358 -0.12498896 -0.47719064 -0.59165964 -0.56054139 -0.56864899
5 4 "SITTING" -0.98806498 -0.98834128 -0.98806498 -0.98834128 -0.9860117 -0.98994561 -0.98757511 -0.98824829 -0.98944009 -0.99046415 -0.98593923 -0.9910519 -0.98988632 -0.9885629 -0.98795232 -0.99039682 -0.99016026 -0.99118899
5 5 "STANDING" -0.85883887 -0.66074822 -0.85883887 -0.66074822 -0.96388891 -0.94935067 -0.82090164 -0.53253219 -0.95873514 -0.93068823 -0.71257578 -0.68648275 -0.9574437 -0.93839237 -0.65849232 -0.53538438 -0.94872293 -0.91605972
5 6 "LAYING" -0.97882672 -0.97838935 -0.97882672 -0.97838935 -0.97913164 -0.97843333 -0.98119738 -0.97618653 -0.98535103 -0.98507584 -0.9805523 -0.9792978 -0.97896752 -0.97617062 -0.97751913 -0.97912885 -0.98560237 -0.98490071
6 1 "WALKING" -0.1640466 -0.11062133 -0.1640466 -0.11062133 -0.086134137 0.12472424 -0.22779223 -0.17679675 -0.14200278 -0.13364113 0.089131854 -0.38596197 0.23730198 -0.03953675 -0.069955305 -0.41843807 -0.098887162 -0.24531118
6 2 "WALKING_UPSTAIRS" -0.038768855 -0.15394991 -0.038768855 -0.15394991 -0.24326344 -0.20500861 -0.23583416 -0.16644026 -0.28893354 -0.36504946 -0.15462602 -0.28489986 -0.21969297 -0.19102852 -0.16884809 -0.31089989 -0.39376692 -0.37201719
6 3 "WALKING_DOWNSTAIRS" 0.45544185 0.45312682 0.45544185 0.45312682 0.20085727 0.42482802 0.10383893 0.0056983886 0.051878558 0.15254909 0.50806862 0.19474234 0.40346034 0.45138258 0.064808278 -0.22102603 0.057213645 0.18863563
6 4 "SITTING" -0.96899876 -0.98069214 -0.96899876 -0.98069214 -0.9733235 -0.97975709 -0.97298597 -0.97792259 -0.97646318 -0.98238503 -0.97650488 -0.98581074 -0.97697822 -0.98253646 -0.97540023 -0.98388319 -0.97972454 -0.98786436
6 5 "STANDING" -0.97345366 -0.94130081 -0.97345366 -0.94130081 -0.97840808 -0.96983508 -0.9248754 -0.69112294 -0.97086123 -0.94596374 -0.93467006 -0.95364699 -0.97402242 -0.9630702 -0.72224076 -0.7225048 -0.95576388 -0.938125
6 6 "LAYING" -0.96534183 -0.94504564 -0.96534183 -0.94504564 -0.96643883 -0.94344069 -0.95413104 -0.90975133 -0.96840918 -0.95289374 -0.94095166 -0.95504347 -0.94324426 -0.94244545 -0.92677587 -0.91380312 -0.95713191 -0.95048134
7 1 "WALKING" -0.040417832 -0.035724318 -0.040417832 -0.035724318 -0.099704494 0.14502363 -0.18103096 -0.11380329 -0.20170471 -0.023826413 0.070166253 -0.25107081 0.19351541 0.071187758 -0.069349194 -0.30643015 -0.06931078 -0.034406598
7 2 "WALKING_UPSTAIRS" -0.25990598 -0.33703925 -0.25990598 -0.33703925 -0.4721416 -0.50654722 -0.29332593 -0.47794238 -0.67215948 -0.72811767 -0.34495671 -0.43524999 -0.48410939 -0.53960677 -0.58488453 -0.49840194 -0.71742157 -0.76144581
7 3 "WALKING_DOWNSTAIRS" 0.039943309 0.21876894 0.039943309 0.21876894 -0.13005792 0.14025113 -0.15461455 -0.19614834 -0.3529996 -0.15542925 0.30876482 -0.024486183 0.093602218 0.1889462 -0.22469072 -0.31480253 -0.17950915 -0.18232301
7 4 "SITTING" -0.99081563 -0.99045926 -0.99081563 -0.99045926 -0.99126118 -0.99228656 -0.98456697 -0.98824927 -0.99537935 -0.99548772 -0.98940687 -0.99176679 -0.99092042 -0.99322972 -0.98999095 -0.98880236 -0.99520634 -0.995881
7 5 "STANDING" -0.97933582 -0.96651439 -0.97933582 -0.96651439 -0.98557019 -0.96609542 -0.98416918 -0.97340842 -0.99049819 -0.97936399 -0.96417878 -0.97213282 -0.9679316 -0.96219749 -0.97693889 -0.97528756 -0.9807947 -0.97851546
7 6 "LAYING" -0.94866508 -0.93687397 -0.94866508 -0.93687397 -0.97879209 -0.96920011 -0.95611953 -0.91341447 -0.980185 -0.96179655 -0.95689438 -0.93584723 -0.96965555 -0.96706328 -0.93575012 -0.91404142 -0.9644946 -0.96060534
8 1 "WALKING" 0.027566398 -0.21367436 0.027566398 -0.21367436 -0.11998692 -0.29396624 -0.13463585 -0.36531641 -0.41007775 -0.56498614 -0.12274679 -0.39215337 -0.22410115 -0.39978798 -0.43864177 -0.42409133 -0.54784623 -0.61909086
8 2 "WALKING_UPSTAIRS" 0.11838541 -0.31229268 0.11838541 -0.31229268 -0.20988844 -0.37279382 0.15780934 -0.21122114 -0.50210536 -0.62010642 -0.32771033 -0.41024914 -0.32166994 -0.44885813 -0.36077064 -0.24918673 -0.58873443 -0.69480185
8 3 "WALKING_DOWNSTAIRS" 0.20748793 0.02024657 0.20748793 0.02024657 0.28485939 0.041289786 -0.017977431 -0.28138228 -0.23398852 -0.41379912 0.14506403 -0.21582298 0.15276023 -0.1264231 -0.32975403 -0.37130947 -0.41472059 -0.45299713
8 4 "SITTING" -0.93438303 -0.90353643 -0.93438303 -0.90353643 -0.92858496 -0.8841 -0.92913212 -0.88985141 -0.93943847 -0.89980114 -0.90848805 -0.91461586 -0.88848243 -0.87776249 -0.89630438 -0.90405892 -0.909432 -0.89462457
8 5 "STANDING" -0.99728259 -0.99225324 -0.99728259 -0.99225324 -0.98913777 -0.98269745 -0.99480299 -0.98383011 -0.99533385 -0.98555021 -0.98978945 -0.99467002 -0.98172869 -0.98266228 -0.98670383 -0.98437993 -0.98642052 -0.98495545
8 6 "LAYING" -0.93894978 -0.93418703 -0.93894978 -0.93418703 -0.99369975 -0.99529874 -0.95047334 -0.94209579 -0.99247128 -0.99050765 -0.9728085 -0.92767542 -0.99431213 -0.99541856 -0.96711942 -0.93786821 -0.99023439 -0.99110631
9 1 "WALKING" -0.054271963 -0.21763444 -0.054271963 -0.21763444 -0.11294947 -0.17604748 -0.23772913 -0.39177578 -0.37453236 -0.41232203 -0.15529597 -0.37641097 -0.17541928 -0.18000558 -0.42442878 -0.4737887 -0.4139719 -0.45180786
9 2 "WALKING_UPSTAIRS" -0.2092223 -0.27059491 -0.2092223 -0.27059491 -0.38472801 -0.4692087 -0.0039455746 -0.37498822 -0.62026164 -0.6922122 -0.28915113 -0.37344038 -0.44137626 -0.50954632 -0.55217986 -0.37482795 -0.67717779 -0.73578773
9 3 "WALKING_DOWNSTAIRS" 0.33077988 0.3858544 0.33077988 0.3858544 -0.02070047 0.17455877 -0.13932566 -0.36837502 -0.38576646 -0.49400966 0.088505121 0.31071496 -0.017678537 0.37605309 -0.35117011 -0.49337604 -0.51199874 -0.50341342
9 4 "SITTING" -0.97957042 -0.97967763 -0.97957042 -0.97967763 -0.9900087 -0.98706289 -0.98339371 -0.98075847 -0.99055497 -0.98755473 -0.98259518 -0.97994561 -0.9859061 -0.9873753 -0.98436685 -0.9813404 -0.98808046 -0.98727389
9 5 "STANDING" -0.98193103 -0.9836767 -0.98193103 -0.9836767 -0.99303268 -0.99402339 -0.98316048 -0.98867856 -0.99564917 -0.99649773 -0.9858372 -0.98376102 -0.99182218 -0.9967497 -0.99162525 -0.98838365 -0.99624884 -0.99675986
9 6 "LAYING" -0.91495845 -0.90565725 -0.91495845 -0.90565725 -0.9430857 -0.9234923 -0.90589564 -0.84544701 -0.9426975 -0.91974382 -0.91137686 -0.9159873 -0.92563925 -0.91954387 -0.87082121 -0.85488322 -0.92982424 -0.91292243
10 1 "WALKING" -0.0533555 -0.11550186 -0.0533555 -0.11550186 -0.13289531 0.08937693 -0.14634081 -0.42099869 -0.42596158 -0.48752131 -0.13617189 -0.24143486 -0.027459171 0.21734872 -0.39421366 -0.54503679 -0.50390501 -0.50223929
10 2 "WALKING_UPSTAIRS" -0.11149511 -0.30465822 -0.11149511 -0.30465822 -0.34939609 -0.28672392 -0.083430887 -0.22655346 -0.5622463 -0.66210377 -0.28001007 -0.42639169 -0.21572004 -0.39404616 -0.31155089 -0.30112732 -0.64957486 -0.70358063
10 3 "WALKING_DOWNSTAIRS" 0.18335799 0.23366562 0.18335799 0.23366562 -0.038179301 0.093613142 -0.093984119 -0.47753115 -0.49796074 -0.58611125 0.22223097 0.047900683 0.065905254 0.12025752 -0.46917405 -0.57564322 -0.55712647 -0.65707592
10 4 "SITTING" -0.99352015 -0.99324411 -0.99352015 -0.99324411 -0.99288345 -0.99517703 -0.99414916 -0.99431174 -0.99638849 -0.99658871 -0.99334919 -0.99326 -0.99475976 -0.99395516 -0.99462506 -0.99488604 -0.99650258 -0.99658316
10 5 "STANDING" -0.98424157 -0.98908077 -0.98424157 -0.98908077 -0.99233496 -0.99505519 -0.98723913 -0.99103652 -0.99649808 -0.99728576 -0.99004114 -0.98909061 -0.99434426 -0.99496111 -0.99259494 -0.99123328 -0.99745544 -0.99682481
10 6 "LAYING" -0.98563539 -0.98551078 -0.98563539 -0.98551078 -0.98621357 -0.98962678 -0.97474107 -0.97229514 -0.97174058 -0.97315525 -0.9853324 -0.98683593 -0.98835187 -0.99031888 -0.96963531 -0.97940082 -0.97438466 -0.97298194
11 1 "WALKING" -0.32112751 -0.48878055 -0.32112751 -0.48878055 -0.40888289 -0.41632939 -0.41953234 -0.58274391 -0.60467669 -0.75457497 -0.44630673 -0.59341092 -0.43446065 -0.39731944 -0.61932895 -0.62901087 -0.75029088 -0.77766736
11 2 "WALKING_UPSTAIRS" -0.1904509 -0.27522916 -0.1904509 -0.27522916 -0.56079417 -0.51426268 -0.32195764 -0.34429427 -0.77825931 -0.78740485 -0.33376032 -0.35666162 -0.53501727 -0.49130096 -0.47531499 -0.37215522 -0.78162577 -0.81041925
11 3 "WALKING_DOWNSTAIRS" 0.12575117 0.062844369 0.12575117 0.062844369 -0.23068142 -0.17284225 -0.28473602 -0.48723601 -0.5604492 -0.68198742 0.1384137 -0.14758935 -0.14988452 -0.20861958 -0.50376562 -0.5642055 -0.66926936 -0.72213071
11 4 "SITTING" -0.95038069 -0.94415886 -0.95038069 -0.94415886 -0.95368865 -0.93718233 -0.95865651 -0.94979051 -0.96918652 -0.95683479 -0.94256211 -0.95267697 -0.94244835 -0.92927188 -0.95614901 -0.95380144 -0.96028277 -0.95503628
11 5 "STANDING" -0.98175514 -0.97539296 -0.98175514 -0.97539296 -0.9827049 -0.98038764 -0.97512311 -0.96027948 -0.98589843 -0.98423012 -0.97447139 -0.9787285 -0.98048862 -0.97870119 -0.96837813 -0.96150141 -0.98601416 -0.98260059
11 6 "LAYING" -0.99811152 -0.99888068 -0.99811152 -0.99888068 -0.99720971 -0.99820017 -0.99669833 -0.99812394 -0.99933325 -0.99968867 -0.99895553 -0.99824155 -0.99760433 -0.9978343 -0.99845923 -0.99801475 -0.9996932 -0.99936257
12 1 "WALKING" -0.010336061 -0.10589709 -0.010336061 -0.10589709 0.040054316 0.29144674 -0.37746943 -0.42035307 -0.44251226 -0.49965067 0.074070151 -0.36551581 0.29836872 0.289759 -0.42429707 -0.51831555 -0.5227744 -0.50514286
12 2 "WALKING_UPSTAIRS" -0.24764117 -0.26956455 -0.24764117 -0.26956455 -0.4355505 -0.31990723 -0.11383911 0.0042524987 -0.67805424 -0.68480801 -0.21165507 -0.41771684 -0.26683997 -0.38621078 -0.19822432 -0.037685126 -0.67565709 -0.71935629
12 3 "WALKING_DOWNSTAIRS" 0.1628967 0.082324491 0.1628967 0.082324491 -0.045260854 0.065142791 -0.19889365 -0.37178428 -0.43678177 -0.56148881 0.21321279 -0.1676974 0.088133236 0.036013104 -0.41190231 -0.45186206 -0.53707386 -0.62819432
12 4 "SITTING" -0.95113162 -0.96169173 -0.95113162 -0.96169173 -0.96019824 -0.95597493 -0.9609781 -0.9520442 -0.97154409 -0.96737937 -0.96008662 -0.96753804 -0.95559545 -0.95514821 -0.95225156 -0.96012867 -0.96544031 -0.97220735
12 5 "STANDING" -0.93835736 -0.93845746 -0.93835736 -0.93845746 -0.93371387 -0.92133304 -0.8340914 -0.78842998 -0.94060395 -0.94447037 -0.9317297 -0.95129325 -0.91387612 -0.93127775 -0.85253336 -0.78609222 -0.9471334 -0.94437592
12 6 "LAYING" -0.97753259 -0.98292421 -0.97753259 -0.98292421 -0.98594283 -0.98792293 -0.97664768 -0.96694267 -0.98447581 -0.98566351 -0.98293623 -0.98449817 -0.98723371 -0.98751723 -0.97411109 -0.96764193 -0.98459694 -0.98794498
13 1 "WALKING" -0.16284459 -0.34371104 -0.16284459 -0.34371104 -0.23520949 -0.015126428 0.21838911 0.52744187 -0.42100713 -0.49588469 -0.2161215 -0.53068808 -0.021587422 -0.013474393 0.058862666 0.54346046 -0.48519138 -0.54660644
13 2 "WALKING_UPSTAIRS" -0.037998534 -0.24986877 -0.037998534 -0.24986877 -0.3943788 -0.39980795 -0.22226673 -0.44031281 -0.64994425 -0.67448136 -0.29218977 -0.34331662 -0.3879303 -0.41470296 -0.52017397 -0.4826275 -0.67315619 -0.69923646
13 3 "WALKING_DOWNSTAIRS" 0.14058571 0.089619504 0.14058571 0.089619504 -0.039082538 0.081415272 -0.11978545 -0.23743647 -0.42392924 -0.47483938 0.15427696 -0.11817911 0.13303664 0.0039367852 -0.28819596 -0.33329076 -0.45945444 -0.53368431
13 4 "SITTING" -0.98285359 -0.98692196 -0.98285359 -0.98692196 -0.98863665 -0.98851849 -0.97969774 -0.98040977 -0.9904906 -0.99005645 -0.98603273 -0.98856596 -0.98811654 -0.98762482 -0.98249509 -0.98207156 -0.9896326 -0.99096812
13 5 "STANDING" -0.9794418 -0.98755062 -0.9794418 -0.98755062 -0.99454331 -0.99242452 -0.98624097 -0.99290863 -0.99605847 -0.99737893 -0.98778001 -0.98829096 -0.99164633 -0.99232581 -0.9940959 -0.99304633 -0.99719431 -0.99750333
13 6 "LAYING" -0.96339095 -0.93467609 -0.96339095 -0.93467609 -0.96490402 -0.93332339 -0.95231635 -0.88237181 -0.96874116 -0.94291705 -0.93380613 -0.94422711 -0.93168712 -0.93414026 -0.9073819 -0.8861718 -0.95225606 -0.93567694
14 1 "WALKING" -0.10919798 -0.35092174 -0.10919798 -0.35092174 -0.33884835 -0.36380226 -0.079007855 -0.15761933 -0.50864272 -0.54628062 -0.3647296 -0.44354852 -0.36946535 -0.36037404 -0.278472 -0.22104043 -0.5268781 -0.60644628
14 2 "WALKING_UPSTAIRS" 0.03113952 -0.11397391 0.03113952 -0.11397391 -0.39284383 -0.4295598 0.31702357 0.26534449 -0.4515025 -0.55014461 -0.23710631 -0.18958102 -0.41537879 -0.44979297 -0.034654301 0.23614825 -0.5371879 -0.60039582
14 3 "WALKING_DOWNSTAIRS" 0.25443025 0.61397378 0.25443025 0.61397378 0.11469962 0.41942562 0.149196 -0.061930719 -0.22878279 -0.27431177 0.63162397 0.35219308 0.33801709 0.50605747 -0.056539963 -0.23102454 -0.25394259 -0.35463867
14 4 "SITTING" -0.99178653 -0.9878556 -0.99178653 -0.9878556 -0.99174182 -0.98614742 -0.9961057 -0.99396522 -0.99831128 -0.99625975 -0.98817199 -0.98848469 -0.98749938 -0.98266285 -0.99497285 -0.99404933 -0.9968331 -0.99528195
14 5 "STANDING" -0.98035714 -0.9703386 -0.98035714 -0.9703386 -0.98816992 -0.98896635 -0.97386817 -0.96418104 -0.99091231 -0.99104242 -0.97736345 -0.96992761 -0.98878463 -0.98776386 -0.97510442 -0.96330941 -0.99204672 -0.98988569
14 6 "LAYING" -0.96037275 -0.93732776 -0.96037275 -0.93732776 -0.97209653 -0.95400598 -0.9526727 -0.88831483 -0.97376693 -0.95894081 -0.94629633 -0.94104611 -0.95845455 -0.94702828 -0.88930411 -0.90695139 -0.96132132 -0.9583286
15 1 "WALKING" -0.18185401 -0.28720395 -0.18185401 -0.28720395 -0.30214279 -0.26665201 -0.14111656 -0.33974118 -0.47624595 -0.56065557 -0.2832313 -0.39994022 -0.29081877 -0.23557837 -0.41929739 -0.3989084 -0.58754153 -0.5565079
15 2 "WALKING_UPSTAIRS" -0.017795085 -0.10783327 -0.017795085 -0.10783327 -0.2753343 -0.23478453 -0.14361273 -0.17443058 -0.64431026 -0.71668515 -0.099192953 -0.25113641 -0.19941977 -0.28747768 -0.38595428 -0.18533178 -0.68236223 -0.79147518
15 3 "WALKING_DOWNSTAIRS" 0.41738854 0.36072657 0.41738854 0.36072657 0.11933511 0.1152732 -0.12128101 -0.29014078 -0.43271355 -0.48155707 0.36968888 0.1436256 0.11059604 0.11415159 -0.31638086 -0.39434393 -0.48082004 -0.51917207
15 4 "SITTING" -0.99746602 -0.99722253 -0.99746602 -0.99722253 -0.99657756 -0.99817852 -0.99794011 -0.99774912 -0.99869254 -0.99929654 -0.99725797 -0.99679189 -0.99781659 -0.99754841 -0.99837963 -0.99745739 -0.99929988 -0.99899358
15 5 "STANDING" -0.98806153 -0.98665553 -0.98806153 -0.98665553 -0.99152262 -0.9952536 -0.99409265 -0.9937573 -0.99635127 -0.99760412 -0.98764053 -0.98701498 -0.99472361 -0.99480093 -0.99443157 -0.99412314 -0.99726835 -0.9980112
15 6 "LAYING" -0.93265333 -0.95112538 -0.93265333 -0.95112538 -0.96778361 -0.96158587 -0.94352996 -0.88575049 -0.97639316 -0.96483867 -0.95855859 -0.95347318 -0.95977186 -0.96279582 -0.90110693 -0.89470439 -0.96610098 -0.96515229
16 1 "WALKING" -0.32346958 -0.52738949 -0.32346958 -0.52738949 -0.38665944 -0.44267006 -0.48943724 -0.65916973 -0.6767843 -0.73181856 -0.42314084 -0.67177117 -0.38639727 -0.52614608 -0.66451737 -0.71468955 -0.70189531 -0.79786323
16 2 "WALKING_UPSTAIRS" -0.21880054 -0.27297861 -0.21880054 -0.27297861 -0.49980292 -0.50000353 -0.30355549 -0.60716897 -0.75043686 -0.80089681 -0.31936631 -0.36084094 -0.48128891 -0.52784316 -0.6701917 -0.63257877 -0.80270644 -0.81223196
16 3 "WALKING_DOWNSTAIRS" 0.35039163 0.32919746 0.35039163 0.32919746 -0.10861744 -0.083249552 -0.39594534 -0.51692493 -0.60056197 -0.6770934 0.3227089 0.12594691 -0.019317069 -0.17858739 -0.53652089 -0.58664205 -0.65258855 -0.73692156
16 4 "SITTING" -0.97959028 -0.93187563 -0.97959028 -0.93187563 -0.98015625 -0.96987835 -0.9829019 -0.93019978 -0.99030559 -0.95995434 -0.93622906 -0.93883876 -0.97180599 -0.96582273 -0.91644936 -0.95597157 -0.96435177 -0.95692229
16 5 "STANDING" -0.97408353 -0.91840179 -0.97408353 -0.91840179 -0.98530628 -0.96887035 -0.95830739 -0.87310381 -0.98905039 -0.97439147 -0.91016007 -0.93518287 -0.96873765 -0.96760007 -0.88065403 -0.88943346 -0.97629382 -0.97330965
16 6 "LAYING" -0.97039842 -0.96854519 -0.97039842 -0.96854519 -0.99055698 -0.99104559 -0.97657146 -0.96464129 -0.99101168 -0.98565624 -0.97756654 -0.96748459 -0.98901489 -0.99279903 -0.97157226 -0.96584962 -0.98604588 -0.98567125
17 1 "WALKING" -0.15196058 -0.43374622 -0.15196058 -0.43374622 -0.310048 -0.24260839 -0.27473953 -0.44470497 -0.53554899 -0.61372292 -0.40561726 -0.5378198 -0.28683184 -0.19363176 -0.4843351 -0.51253844 -0.61800402 -0.63521928
